Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2005,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.291
2006,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.378
2007,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.442
2008,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.518
2009,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.457
2010,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.449
2011,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.425
2012,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.383
2013,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.336
2014,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.239
2015,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.192
2016,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.155
2017,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.125
2018,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.109
2019,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of GDP,0.099
2005,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,27.842
2006,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,32.536
2007,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,34.672
2008,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,37.776
2009,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,35.541
2010,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,35.403
2011,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,34.806
2012,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,31.907
2013,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,28.522
2014,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,21.928
2015,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,19.064
2016,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,15.839
2017,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,13.252
2018,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,11.729
2019,Business R&D expenditure,AUS,Australia,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,10.776
2005,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.439
2006,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.518
2007,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.598
2008,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.674
2009,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.587
2010,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.589
2011,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.557
2012,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.511
2013,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.46
2014,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.248
2015,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.202
2016,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.166
2017,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.137
2018,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.122
2019,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of GDP,0.114
2005,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,41.971
2006,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,44.618
2007,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,46.902
2008,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,49.177
2009,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,45.688
2010,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,46.411
2011,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,45.614
2012,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,42.598
2013,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,38.999
2014,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,22.678
2015,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,20.132
2016,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,17.021
2017,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,14.475
2018,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,13.104
2019,Business R&D expenditure,AUS,Australia,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,12.383
2005,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.148
2006,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.14
2007,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.156
2008,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.156
2009,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.13
2010,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.14
2011,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.132
2012,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.128
2013,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.123
2014,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.008
2015,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.011
2016,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.012
2017,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.012
2018,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.013
2019,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of GDP,0.015
2005,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,14.129
2006,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,12.082
2007,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,12.23
2008,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,11.401
2009,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,10.147
