Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2005,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.152
2006,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.181
2007,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.18
2008,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.179
2009,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.146
2010,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.144
2011,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.146
2012,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.137
2013,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.15
2014,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.146
2015,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.143
2016,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.156
2017,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.168
2018,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.178
2019,Business R&D expenditure,AUS,Australia,Information industries (ISIC 26+58-63),Share of GDP,0.184
2005,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.514
2006,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.444
2007,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.295
2008,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.251
2009,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.262
2010,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.286
2011,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.282
2012,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.315
2013,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.324
2014,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.347
2015,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.353
2016,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.361
2017,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.364
2018,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.389
2019,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.429
2020,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.481
2021,Business R&D expenditure,AUT,Austria,Information industries (ISIC 26+58-63),Share of GDP,0.54
2005,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.252
2006,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.253
2007,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.25
2008,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.24
2009,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.238
2010,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.249
2011,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.26
2012,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.258
2013,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.259
2014,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.261
2015,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.268
